model,flux,pressure drop,nussult number,hydraulic diameter,melting-time
base,8.1634,37.9,1.48,3.9048,2445
circular,8.7736,25.08,2.2311,4.8,2266.3
square,8.4,47.467,1.66,3.98,2375.7
R-0.5,8.324,54.077,1.6434,4.03,2392
R-0.33,7.857,81.3,1.2707,3.82,2558.9
R-0.25,7.6083,137.64,0.9071,2.96,2664.8
R-0.2,8.019,141.9,0.9284,2.87,2477.3
R-0.167,8.251,177.97,0.8692,2.64,2438.3
R-2,8.315,65.94,1.533,3.76,2417.2
R-3,9.1857,70.7,1.5859,3.98,2111.1
R-3.5,9.478,82.9,1.5608,4.03,2060
R-4,8.386,87.5,1.1506,3.23,2418.4
