Time Step,flow-time,area-q,pcm-avg-temp,temp-uniformity-index,heat-storage-rate,heat-storage-rate-comb,heat-storage-rate-shadows,htf-avg-temp
"(""Time","Step""","""flow-time""","""q""","""pcm-temp-avg""","""temp-uniformity-index""","""heat-stoarge-rate""","""heat-storage-comb""","""heat-storage-rate-shadows"""
0,0,0,300.0000000000006,0,0,0,0,299.9999999999998
1,0.1,0,300.0031555754714,0.003743322211476867,34.60590848482462,1.085632140718218e-05,-34.60589762850322,301.3719238436535
2,0.2,0,300.0089828804001,0.01545127529060374,54.94930811879833,-0.0002531611153990809,-54.94956127991374,302.7239406254557
3,0.3,0,300.0140775264174,0.02773839011058147,68.75299908619856,-0.0003829340658685343,-68.75338202026443,303.6164332124665
4,0.4,0,300.022753675337,0.05072896772274504,91.46176221748742,-0.0004662650844576843,-91.46222848257187,304.7919055746911
5,0.5,0,300.0352145682221,0.08453606729577068,123.7314909527102,-4.279356545078272e-05,-123.7315337462757,306.0410347816727
6,0.6000000000000001,0,300.0522839986782,0.1287567556366284,165.0430397888736,0.0006490602208724106,-165.0423907286527,307.2882358973521
7,0.7000000000000001,0,300.074874888062,0.1821731675875255,212.4939813946238,0.001451647607570994,-212.4925297470162,308.5044011465365
8,0.8,0,300.1036852611588,0.2430722627261356,262.2204488999063,-0.0001287994096879075,-262.220577699316,309.6783604619891
9,0.9,0,300.1391087632351,0.30965522823569,311.5320457116446,-0.00696098144315549,-311.5390066930877,310.8066553213357
10,1,3.027705258003605e-07,300.1813013587201,0.3803302897335837,359.7019336719284,-0.02419093905249348,-359.7261246109808,311.8888772539712
11,1.1,1.927459451657509e-06,300.230277230483,0.4538400249047991,406.9793593658259,-0.0326646634322536,-407.0120240292582,312.9254591983339
12,1.2,4.910251759518345e-06,300.2860332109268,0.5292470023403758,453.1927677995419,-0.1902295777327652,-453.3829973772746,313.917109610114
13,1.3,8.757969505231756e-06,300.3485288115115,0.6058578600736189,498.0450624556044,-0.2323229568270975,-498.2773854124314,314.8650122941928
14,1.4,1.356062931327408e-05,300.4176209013798,0.6831180317832414,540.314768441109,-0.6695945327301089,-540.9843629738391,315.7709565238937
15,1.5,1.9646536409522e-05,300.4930675888625,0.760558209701156,579.315821107228,-1.668262595647175,-580.9840837028752,316.6372573166779
16,1.6,2.697233485803504e-05,300.5745663353449,0.8377624573524605,616.3213910963486,-1.629110298618293,-617.950501394967,317.4666178780481
17,1.7,3.527625186684898e-05,300.6617889013405,0.9143681703074975,650.4649017382261,-1.506187379395829,-651.971089117622,318.2617527349653
18,1.8,4.44839852534524e-05,300.7543789206397,0.990069325344582,681.8456255780289,-1.370352186550889,-683.2159777645799,319.0251909557119
19,1.9,5.483005424339103e-05,300.8519603881541,1.06462039485631,710.672051983175,-1.242929609683472,-711.9149815928586,319.7591258283673
20,2,6.621201509664471e-05,300.9541693155826,1.137830933602563,737.0264121163738,-1.136134233874408,-738.1625463502481,320.4653755649676
21,2.1,7.862086597091621e-05,301.06063062637,1.209558943336029,760.8584160702551,-1.052728809554736,-761.9111448798099,321.1453665358401
22,2.2,9.220579922343693e-05,301.1709427952454,1.279702842209323,782.0430803203598,-0.9752400181287157,-783.0183203384885,321.8000798116357
23,2.3,0.0001067833143051506,301.2847055102263,1.348196480370839,800.4452587002842,-0.9025635371348031,-801.347822237419,322.4299344678983
24,2.4,0.0001224911486141397,301.4015044699058,1.414998024605759,816.073425947597,-0.8231367490414669,-816.8965626966384,323.0347178356312
25,2.5,0.0001394889901428129,301.5209191918145,1.480077061281465,829.084671718487,-0.7281201799431685,-829.8127918984301,323.6131548037191
26,2.6,0.0001576097382088811,301.6425556686235,1.543415664214216,839.8634355275076,-0.5442537298023638,-840.40768925731,324.1631423795801
27,2.7,0.000176738588956184,301.7660457155525,1.605043830990297,848.4591467697542,-0.4672255897559126,-848.9263723595101,324.6820575760615
28,2.8,0.0001968922539064919,301.8910671945853,1.665036590976713,855.38065671493,-0.3961636754580908,-855.776820390388,325.167060070855
29,2.9,0.0002181312339650598,302.0173512797297,1.723504804192766,861.2919103713083,0.02409016132016006,-861.2678202099881,325.6156483359925
30,3,0.0002404495008291296,302.1446412923007,1.780550339688633,865.6167061980402,0.004371143140666334,-865.6123350548995,326.0263284114534
31,3.1,0.0002641081861872352,302.2727156006021,1.836300655347994,868.9947520457874,0.04947289311645875,-868.945279152671,326.398955449594
32,3.2,0.0002892359863518297,302.4013825349813,1.890865155348047,871.4692076308859,0.08123964713745124,-871.3879679837485,326.7349122209144
33,3.3,0.0003159779648660192,302.5304667395998,1.944323853732135,873.1250324654015,0.09617910510061023,-873.028853360301,327.0369918539861
34,3.4,0.0003444929591319448,302.6598078352603,1.996740782872124,874.0690769652663,0.1170142144052164,-873.952062750861,327.3090503120445
35,3.5,0.0003748851507280157,302.78926301123,2.048192601575982,874.3632556371634,0.1181231402606429,-874.2451324969028,327.5555027123008
36,3.6,0.0004071197369748544,302.9187118566148,2.098765456160338,874.1135949945315,0.1152703352811812,-873.9983246592503,327.7807961541978
37,3.7,0.0004412656256269176,303.0480467966694,2.148550614266726,873.4291083219723,0.1160551698846675,-873.3130531520876,327.9889607618999
38,3.8,0.0004772812389850106,303.177177767622,2.197642082472841,872.393790154425,0.1201451686667312,-872.2736449857583,328.1833288286522
39,3.9,0.0005154811280288151,303.3060105023366,2.246123059796787,871.1024959080662,0.08638036089931234,-871.0161155471669,328.3664139475383
40,4,0.0005558595972346897,303.4344812973966,2.294066146738129,869.5970023744046,0.09761254677675879,-869.4993898276279,328.5400715689562
41,4.100000000000001,0.0005983762445679541,303.562542275391,2.341530511388384,867.9272782441542,0.1033155565838868,-867.8239626875703,328.7055742589525
42,4.2,0.0006433276729931064,303.6901388183799,2.388576432779332,866.1448777595878,0.1125742402074863,-866.0323035193803,328.8638208224003
43,4.3,0.0006906545994979504,303.8172405211913,2.435259887702609,864.2427144393256,0.1057625980490542,-864.1369518412766,329.0154937689406
44,4.4,0.0007405181762752707,303.9438042770012,2.481607135238582,862.270552962847,0.1084760302173891,-862.1620769326296,329.161157117585
45,4.5,0.000793074120404361,304.0697980012678,2.52765208701746,860.246625227259,0.109812858310093,-860.1368123689489,329.301304702743
46,4.600000000000001,0.0008483683864433282,304.1951970377052,2.573404615124987,858.1794558578071,0.1086318950692942,-858.0708239627377,329.4363861597794
47,4.7,0.0009065005283342113,304.3199716576744,2.61887272617366,856.0794391114896,0.1099763462552801,-855.9694627652343,329.5668106294536
48,4.800000000000001,0.0009676097585805726,304.4440926257307,2.664056407572984,853.953084459101,0.104769524513884,-853.8483149345871,329.6929389557288
49,4.9,0.001031752790474997,304.5675392067508,2.708934751309786,851.8093676506242,0.09917087820944914,-851.7101967724147,329.8150856448669
50,5,0.001098851922167502,304.690300716544,2.753506836025843,849.6544886706852,0.09177244815459318,-849.5627162225305,329.9335258805069
51,5.100000000000001,0.001168733283578733,304.8123716513702,2.797777807588198,847.4803204765265,0.08588949794799561,-847.3944309785785,330.0485085967219
52,5.2,0.001241346685871613,304.9337397958453,2.841734908672566,845.3004268513456,0.08847058222527693,-845.2119562691204,330.1602543167795
53,5.300000000000001,0.001316806473412803,305.0543905365196,2.885363070056491,843.1209398909712,0.09019739782286962,-843.0307424931483,330.2689545230537
54,5.4,0.001395215716936029,305.1743132313488,2.928646438363169,840.944615452332,0.08705739808836199,-840.8575580542436,330.3747790042656
55,5.5,0.001476701206704479,305.2935002034848,2.971579694951898,838.7827199267473,0.0909613296074383,-838.6917585971398,330.4778804303884
56,5.600000000000001,0.001561614196264297,305.4119436360181,3.014178768573256,836.6316210536003,0.07262407040377639,-836.5589969831965,330.578382458926
57,5.7,0.001649839471186574,305.5296508983556,3.056468333642203,834.4838434807994,0.07140113634252998,-834.4124423444568,330.6764249552389
58,5.800000000000001,0.001741347010439272,305.6466151866801,3.098458125821007,832.3368288941398,0.07092938022439199,-832.2658995139154,330.7721376579765
59,5.9,0.001836198648390273,305.7628259360729,3.140146933876763,830.1983939539139,0.06939353255868497,-830.1290004213552,330.865635555787
