Time Step,flow-time,area-q,pcm-avg-temp,temp-uniformity-index,heat-storage-rate,heat-storage-rate-comb,heat-storage-rate-shadows,htf-avg-temp,temp-uniformity-1,temp-uniformity-2,temp-uniformity-3,temp-uniformity-4,temp-uniformity-5,temp-uniformity-6
"(""Time","Step""","""flow-time""","""q""","""pcm-temp-avg""","""temp-uniformity-index""","""heat-stoarge-rate""","""heat-storage-comb""","""heat-storage-rate-shadows""","""htf-avg-temp""","""temp-uniformity-1""","""temp-uniformity-2""","""nussult-number""","""temp-uniformity-4""","""temp-uniformity-5"""
0,0,0,300.0000000000006,0,0,0,0,299.9999999999998,0,0,0,0,0,0
1,0.1,0,300.0031555754714,0.003531946188920878,34.60590848482462,1.085632140718218e-05,-34.60589762850322,301.3719238436535,0,0.00496083009549141,0,0,8.137027361946694e-05,0.006286492624173841
2,0.2,0,300.0089828804001,0.01458162328934737,54.94930811879833,-0.0002531611153990809,-54.94956127991374,302.7239406254557,0,0.02044608805334387,0,0,0.0005070391368913815,0.02587784206028682
3,0.3,0,300.0140775264174,0.02617965563015434,68.75299908619856,-0.0003829340658685343,-68.75338202026443,303.6164332124665,0,0.03667880735894016,0,0,0.001068707710521838,0.04639831793220592
4,0.4,0,300.022753675337,0.04788498280092186,91.46176221748742,-0.0004662650844576843,-91.46222848257187,304.7919055746911,0,0.06700838082864917,6.607249479556569e-06,0,0.002425217600235633,0.08470975052279799
5,0.5,0,300.0352145682221,0.07981039467567003,123.7314909527102,-4.279356545078272e-05,-123.7315337462757,306.0410347816727,5.394796609394436e-06,0.1115188014697164,1.321449895911314e-05,3.814697265625e-06,0.005128572128889564,0.1408953914425937
6,0.6000000000000001,0,300.0522839986782,0.1215833004752135,165.0430397888736,0.0006490602208724106,-165.0423907286527,307.2882358973521,0,0.1695928536685434,3.776357626576105e-05,0,0.01002451490387734,0.2141723002963382
7,0.7000000000000001,0,300.074874888062,0.1720624630015278,212.4939813946238,0.001451647607570994,-212.4925297470162,308.5044011465365,0,0.2395263498984465,0.0001006386257802805,3.814697265625e-06,0.01824007380322237,0.302399044766171
8,0.8,0,300.1036852611588,0.2296383768755433,262.2204488999063,-0.0001287994096879075,-262.220577699316,309.6783604619891,0,0.318961912760922,0.0002466608148243288,0,0.03109735642372963,0.4025846770940792
9,0.9,0,300.1391087632351,0.2926180471484969,311.5320457116446,-0.00696098144315549,-311.5390066930877,310.8066553213357,3.814697265625e-06,0.4054417398585222,0.0005610199412448248,3.814697265625e-06,0.04991914940667006,0.5115252744127402
10,1,3.027705258003605e-07,300.1813013587201,0.3594996725872264,359.7019336719284,-0.02419093905249348,-359.7261246109808,311.8888772539712,7.62939453125e-06,0.4968059932133916,0.001181478932643782,0,0.07576531912243238,0.6262611943649692
11,1.1,1.927459451657509e-06,300.230277230483,0.4290915449645272,406.9793593658259,-0.0326646634322536,-407.0120240292582,312.9254591983339,0,0.5913697218597139,0.002311933147541462,0,0.1091962119011782,0.7443097232112147
12,1.2,4.910251759518345e-06,300.2860332109268,0.5004982947301503,453.1927677995419,-0.1902295777327652,-453.3829973772746,313.917109610114,3.814697265625e-06,0.6879063379621696,0.004224091295484017,0,0.1501546347739752,0.8637167850378614
13,1.3,8.757969505231756e-06,300.3485288115115,0.5730505759174377,498.0450624556044,-0.2323229568270975,-498.2773854124314,314.8650122941928,3.814697265625e-06,0.7855410463906574,0.007246551383545964,5.394796609394436e-06,0.1980084778540435,0.9830259492992406
14,1.4,1.356062931327408e-05,300.4176209013798,0.6462083173937097,540.314768441109,-0.6695945327301089,-540.9843629738391,315.7709565238937,0,0.8835995887191028,0.01174152478317616,0,0.2517080328957587,1.101173701168034
15,1.5,1.9646536409522e-05,300.4930675888625,0.7195135047932381,579.315821107228,-1.668262595647175,-580.9840837028752,316.6372573166779,5.394796609394436e-06,0.9815223557298501,0.01807294224740471,0,0.310005791788187,1.217415082875186
16,1.6,2.697233485803504e-05,300.5745663353449,0.7925629772340621,616.3213910963486,-1.629110298618293,-617.950501394967,317.4666178780481,3.814697265625e-06,1.078810297958593,0.02657334132971775,0,0.3716492369677216,1.331237419058931
17,1.7,3.527625186684898e-05,300.6617889013405,0.8650101530321042,650.4649017382261,-1.506187379395829,-651.971089117622,318.2617527349653,3.814697265625e-06,1.175018369224235,0.03751734727225175,0,0.4355098801936377,1.442304479942351
18,1.8,4.44839852534524e-05,300.7543789206397,0.93656850281795,681.8456255780289,-1.370352186550889,-683.2159777645799,319.0251909557119,5.394796609394436e-06,1.269758667595763,0.05110472974477626,0,0.5006404868423551,1.550408581901103
19,1.9,5.483005424339103e-05,300.8519603881541,1.007014477673959,710.672051983175,-1.242929609683472,-711.9149815928586,319.7591258283673,0,1.362707996075943,0.06745578317194087,8.529922399520072e-06,0.5662792487211428,1.655440156341699
20,2,6.621201509664471e-05,300.9541693155826,1.076180963250151,737.0264121163738,-1.136134233874408,-738.1625463502481,320.4653755649676,3.814697265625e-06,1.453604264953359,0.08661628510756758,1.206313194339134e-05,0.6318324083332127,1.75735554713328
21,2.1,7.862086597091621e-05,301.06063062637,1.143949332775342,760.8584160702551,-1.052728809554736,-761.9111448798099,321.1453665358401,0,1.542241639317137,0.1085690242665499,2.018548058368371e-05,0.6968423528859496,1.856157306622493
